Rank,Points,Name,Age,M/F,Stance,Country,Style
1,"188,000",Sora Shirai,23,M,Goofy,JPN,Street
2,"167,403",Toa Sasaki,17,M,Regular,JPN,Street
3,"160,648",Kairi Netsuke,21,M,Goofy,JPN,Street
4,"156,291",Nyjah Huston,29,M,Goofy,USA,Street
5,"144,151",Ginwoo Onodera,14,M,Regular,JPN,Street
6,"141,034",Yuto Horigome,25,M,Goofy,JPN,Street
7,"109,274",Richard Tury,31,M,Goofy,SVK,Street
8,"101,849",Gustavo Ribeiro,23,M,Goofy,POR,Street
9,"101,438",Matias Dell Olio,28,M,Goofy,ARG,Street
10,"82,328",Jagger Eaton,23,M,Regular,USA,Street
11,"81,637",Kelvin Hoefler,31,M,Goofy,BRA,Street
12,"78,938",Cordano Russell,20,M,Goofy,CAN,Street
13,"75,461",Yukito Aoki,21,M,Regular,JPN,Street
14,"70,222",Braden Hoban,23,M,Regular,USA,Street
15,"59,750",Jc Gonzalez,27,M,Regular,COL,Street
16,"56,622",Giovanni Vianna,23,M,Regular,BRA,Street
17,"50,541",Vincent Milou,28,M,Regular,FRA,Street
18,"43,823",Kristoffer Kroon,19,M,Regular,SWE,Street
19,"43,618",Tijmen Overbeek,-,M,Goofy,NED,Street
20,"43,604",Chris Joslin,28,M,Regular,USA,Street
21,"43,460",Alex Midler,26,M,Goofy,USA,Street
22,"42,241",Aurelien Giraud,26,M,Goofy,FRA,Street
23,"37,858",Tommy Fynn,36,M,Goofy,AUS,Street
24,"36,446",Felipe Gustavo,33,M,Goofy,BRA,Street
25,"31,860",Matt Berger,31,M,Regular,CAN,Street
26,"28,675",Ryan Decenzo,38,M,Regular,CAN,Street
27,"27,702",Jake Ilardi,27,M,Regular,USA,Street
28,"24,721",Deivid Tuesta,22,M,Goofy,PER,Street
29,"24,368",Augustin Aquila,22,M,Regular,ITA,Street
30,"21,901",Micky Papa,34,M,Regular,CAN,Street
31,"20,521",Sena Watanabe,18,M,Goofy,JPN,Street
32,"20,372",Gabryel Aguilar,25,M,Goofy,BRA,Street
33,"19,008",Jonas Carlsson,22,M,Regular,NOR,Street
34,"16,473",Angelo Caro,25,M,Regular,PER,Street
35,"16,040",Mauro Iglesias,24,M,Regular,ARG,Street
36,"15,166",Greg Rodriguez,24,M,Goofy,MEX,Street
37,"14,987",Tyson Bowerbank,30,M,Goofy,USA,Street
38,"14,248",Filipe Mota,18,M,Goofy,BRA,Street
39,"14,098",Shane O'neill,34,M,Goofy,AUS,Street
40,"13,940",Keyaki Ike,23,M,Regular,JPN,Street
41,"12,457",Joseph Garbaccio,26,M,Regular,FRA,Street
42,"11,876",Filip Szalak,-,M,-,POL,Street
43,"11,162",Joe Hinson,28,M,Goofy,GBR,Street
44,"10,468",Kairi Matsumoto,17,M,Goofy,JPN,Street
45,"9,479",Madu Teixeira,15,M,Goofy,POR,Street
46,"9,318",Vitus Sondrup,18,M,Goofy,DEN,Street
47,"7,947",Lucas Rabelo,25,M,Goofy,BRA,Street
48,"7,898",Taiga Nagai,17,M,Goofy,JPN,Street
49,"7,652",Jamie Foy,28,M,Regular,USA,Street
50,"7,630",Momohei Yabushita,15,M,Goofy,JPN,Street
1,"157,520",Luigi Cini,22,M,Goofy,BRA,Park
2,"148,900",Gavin Bottger,17,M,Goofy,USA,Park
3,"143,733",Augusto Akio,23,M,Regular,BRA,Park
4,"138,400",Tate Carew,19,M,Goofy,USA,Park
5,"124,000",Keegan Palmer,21,M,Goofy,AUS,Park
6,"123,816",Pedro Barros,29,M,Regular,BRA,Park
7,"106,148",Viktor Solmunde,17,M,Goofy,DEN,Park
8,"93,488",Tom Schaar,25,M,Regular,USA,Park
9,"92,606",Jagger Eaton,23,M,Regular,USA,Park
10,"78,680",Kieran Woolley,21,M,Regular,AUS,Park
11,"77,056",Danny Leon,29,M,Goofy,ESP,Park
12,"73,557",Hampus Winberg,18,M,Regular,SWE,Park
13,"62,226",Steven Pineiro,28,M,Goofy,PUR,Park
14,"54,678",Alessandro Mazzara,20,M,Goofy,ITA,Park
15,"53,708",Pedro Quintas,22,M,Regular,BRA,Park
16,"52,242",Yuro Nagahara,19,M,Goofy,JPN,Park
17,"50,761",Keefer Wilson,17,M,Regular,AUS,Park
18,"45,152",Egoitz Bijueska,13,M,Regular,ESP,Park
19,"36,270",Alex Sorgente,26,M,Goofy,ITA,Park
20,"32,814",Kalani Konig,17,M,Regular,BRA,Park
21,"30,302",Pedro Carvalho,19,M,Goofy,BRA,Park
22,"26,750",Noe Montagard,14,M,Goofy,FRA,Park
23,"25,626",Thomas Augusto,20,M,Goofy,POR,Park
24,"22,010",Liam Pace,24,M,Regular,USA,Park
25,"20,069",Justin-Daniel Sanchez,-,M,-,USA,Park
26,"18,466",Magnus Magiar,14,M,Goofy,GER,Park
27,"18,086",Tom Martin,16,M,Regular,FRA,Park
28,"17,063",Vincent Matheron,26,M,Goofy,FRA,Park
29,"14,303",Tommy Calvert,14,M,Goofy,GBR,Park
30,"14,092",Luiz Mariano,24,M,Regular,BRA,Park
31,"12,330",Taiyo Amano,16,M,Regular,JPN,Park
32,"12,151",Tyler Edtmayer,23,M,Goofy,GER,Park
33,"12,020",Alain Kortabitarte,19,M,Goofy,ESP,Park
34,"11,576",Peio Gonzalez,17,M,Goofy,ESP,Park
35,"10,779",Taylor Nye,20,M,Regular,USA,Park
36,"10,048",Kensuke Sasaoka,25,M,Regular,JPN,Park
37,"7,892",Nathan Matheron,18,M,Goofy,FRA,Park
38,"7,508",Andre Mariano,21,M,Regular,BRA,Park
39,"7,477",Elias Nilsen,22,M,Regular,NOR,Park
40,"7,406",Murilo Peres,28,M,Regular,BRA,Park
41,"6,667",Andrew Macdonald,51,M,Regular,GBR,Park
42,"5,631",Oliver Holm,17,M,Regular,DEN,Park
43,"5,334",Edouard Damestoy,27,M,Goofy,FRA,Park
44,"5,069",Jake Familton,13,M,Regular,USA,Park
45,"4,729",Guglielmo Marin,15,M,Goofy,ITA,Park
46,"4,609",Ash Wilcomes,17,M,Goofy,AUS,Park
47,"4,505",Yam Behar,22,M,Goofy,ISR,Park
48,"4,181",Cory Juneau,25,M,Regular,USA,Park
49,"4,007",Kiko Francisco,22,M,Regular,PHI,Park
50,"3,998",Zedyn Fellows,17,M,Goofy,NZL,Park
1,"222,900",Rayssa Leal,16,F,Goofy,BRA,Street
2,"194,000",Yumeka Oda,18,F,Regular,JPN,Street
3,"183,486",Momiji Nishiya,17,F,Regular,JPN,Street
4,"179,168",Liz Akama,15,F,Regular,JPN,Street
5,"166,688",Coco Yoshizawa,15,F,Regular,JPN,Street
